[0.035s] Invoking command in '/home/lucads/intelligent-machine-design-lab/irobot_ws/build/irobot_create_nodes': AMENT_PREFIX_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox:/opt/ros/humble LD_LIBRARY_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --build /home/lucads/intelligent-machine-design-lab/irobot_ws/build/irobot_create_nodes -- -j12 -l12
[0.093s] [ 16%] Built target ir_intensity_vector_publisher
[0.093s] [ 16%] Built target hazards_vector_publisher
[0.093s] [ 16%] Built target hazard_publisher_lib
[0.093s] [ 21%] Built target wheel_status_publisher
[0.094s] [ 27%] Built target motion_control
[0.095s] [ 32%] Built target robot_state_lib
[0.097s] [ 37%] Built target ir_intensity_publisher_lib
[0.101s] [ 43%] Built target ui_mgr_lib
[0.101s] [ 48%] Built target ui_mgr
[0.102s] [ 54%] Built target robot_state
[0.102s] [ 59%] Built target wheel_status_publisher_lib
[0.109s] [ 78%] Built target motion_control_lib
[0.131s] [ 83%] Built target kidnap_estimator_publisher_lib
[0.132s] [ 89%] Built target mock_publisher
[0.132s] [ 94%] Built target mock_publisher_lib
[0.140s] [100%] Built target kidnap_estimator_publisher
[0.153s] Invoked command in '/home/lucads/intelligent-machine-design-lab/irobot_ws/build/irobot_create_nodes' returned '0': AMENT_PREFIX_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox:/opt/ros/humble LD_LIBRARY_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --build /home/lucads/intelligent-machine-design-lab/irobot_ws/build/irobot_create_nodes -- -j12 -l12
[0.218s] Invoking command in '/home/lucads/intelligent-machine-design-lab/irobot_ws/build/irobot_create_nodes': AMENT_PREFIX_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox:/opt/ros/humble LD_LIBRARY_PATH=/home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_toolbox/lib:${LD_LIBRARY_PATH} /usr/bin/cmake --install /home/lucads/intelligent-machine-design-lab/irobot_ws/build/irobot_create_nodes
[0.223s] -- Install configuration: ""
[0.223s] -- Execute custom install script
[0.223s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/hazards_vector_publisher
[0.223s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/ir_intensity_vector_publisher
[0.224s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/motion_control
[0.224s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/wheel_status_publisher
[0.224s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/robot_state
[0.224s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/ui_mgr
[0.224s] -- Up-to-date symlink: /home/lucads/intelligent-machine-design-lab/irobot_ws/install/irobot_create_nodes/lib/irobot_create_nodes/mock_publisher
